U_10,fmc,DF,KBDI,ROS,intensity,flame_h
0.0,0.0,10.0,200.0,62.261928964249265,254.70535595581129,0.9513696762755495
0.0,10.0,0.0,0.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,0.0,20.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,0.0,40.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,0.0,60.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,0.0,80.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,0.0,100.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,0.0,120.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,0.0,140.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,0.0,160.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,0.0,180.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,0.0,200.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,2.0,0.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,2.0,20.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,2.0,40.0,6.58838794277938,1.4860786327246658,0.05540645147831936
0.0,10.0,2.0,60.0,6.98132433127291,1.5509637528735178,0.06025104253385469
0.0,10.0,2.0,80.0,7.404001152740664,1.637369037066893,0.06576858244309905
0.0,10.0,2.0,100.0,7.858122915994869,1.7522274505991597,0.07204489894857785
0.0,10.0,2.0,120.0,8.345307646099537,1.9045745170820834,0.07917364089508115
0.0,10.0,2.0,140.0,8.867014097502874,2.1061030525081845,0.08725567344027584
0.0,10.0,2.0,160.0,9.424447244800936,2.371811957384908,0.0963977955218735
0.0,10.0,2.0,180.0,10.01843862959161,2.7207304856758996,0.10671052712599732
0.0,10.0,2.0,200.0,10.594023573071135,3.1328914116875906,0.11726245684925853
0.0,10.0,4.0,0.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,4.0,20.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,4.0,40.0,6.862805784940928,1.529921069934051,0.05876070155905547
0.0,10.0,4.0,60.0,7.721265770340929,1.7150225756999968,0.07011575503572719
0.0,10.0,4.0,80.0,8.709990816231363,2.040942025930221,0.08477469892222105
0.0,10.0,4.0,100.0,9.840001829004398,2.60821907779846,0.10355088149860645
0.0,10.0,4.0,120.0,11.116737786655925,3.5787098417171657,0.12732029136872028
0.0,10.0,4.0,140.0,12.535175618751543,5.19745663444079,0.15689594504033777
0.0,10.0,4.0,160.0,14.073575680048389,7.800891579367855,0.19279346462067853
0.0,10.0,4.0,180.0,15.687556235907772,11.781058880843723,0.23488139936807056
0.0,10.0,4.0,200.0,17.17185300221284,16.912367998864546,0.2778325677093413
0.0,10.0,6.0,0.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,6.0,20.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,6.0,40.0,7.151795327010122,1.5836083435684019,0.062438419228211375
0.0,10.0,6.0,60.0,8.556029298615769,1.980887892094858,0.08238254558050147
0.0,10.0,6.0,80.0,10.273934679079515,2.8941061507499226,0.11132666994229558
0.0,10.0,6.0,100.0,12.318420689900307,4.906800179672997,0.15215958229967289
0.0,10.0,6.0,120.0,14.637756001685023,9.02869211793477,0.20697886979353547
0.0,10.0,6.0,140.0,17.072932790887833,16.518738635813623,0.27483711762578356
0.0,10.0,6.0,160.0,19.359626667413206,27.941620575931093,0.3493499847409196
0.0,10.0,6.0,180.0,21.230942753892094,41.89220469032658,0.41955386490988933
