ROS,fl_max,tsf,k,intensity
2400.0,20.0,22.0,0.2,24495.521970403905
2400.0,20.0,24.0,0.2,24595.902273184303
2600.0,20.0,0.0,0.2,0.0
2600.0,20.0,2.0,0.2,8857.40142984249
2600.0,20.0,4.0,0.2,14794.695164050647
2600.0,20.0,6.0,0.2,18774.582173292172
2600.0,20.0,8.0,0.2,21442.38021654359
2600.0,20.0,10.0,0.2,23230.658723709672
2600.0,20.0,12.0,0.2,24429.377654957785
2600.0,20.0,14.0,0.2,25232.902984135813
2600.0,20.0,16.0,0.2,25771.52211978123
2600.0,20.0,18.0,0.2,26132.569323582742
2600.0,20.0,20.0,0.2,26374.586501856003
2600.0,20.0,22.0,0.2,26536.815467937562
2600.0,20.0,24.0,0.2,26645.560795949663
2800.0,20.0,0.0,0.2,0.0
2800.0,20.0,2.0,0.2,9538.740001368837
2800.0,20.0,4.0,0.2,15932.748638208388
2800.0,20.0,6.0,0.2,20218.780802006957
2800.0,20.0,8.0,0.2,23091.794079354637
2800.0,20.0,10.0,0.2,25017.63247168734
2800.0,20.0,12.0,0.2,26308.560551493
2800.0,20.0,14.0,0.2,27173.89552137703
2800.0,20.0,16.0,0.2,27753.946898225946
2800.0,20.0,18.0,0.2,28142.76696385834
2800.0,20.0,20.0,0.2,28403.40084815262
2800.0,20.0,22.0,0.2,28578.108965471223
2800.0,20.0,24.0,0.2,28695.219318715022
3000.0,20.0,0.0,0.2,0.0
3000.0,20.0,2.0,0.2,10220.078572895181
3000.0,20.0,4.0,0.2,17070.80211236613
3000.0,20.0,6.0,0.2,21662.979430721738
3000.0,20.0,8.0,0.2,24741.207942165685
3000.0,20.0,10.0,0.2,26804.606219665005
3000.0,20.0,12.0,0.2,28187.743448028214
3000.0,20.0,14.0,0.2,29114.88805861825
3000.0,20.0,16.0,0.2,29736.371676670657
3000.0,20.0,18.0,0.2,30152.964604133937
3000.0,20.0,20.0,0.2,30432.215194449236
3000.0,20.0,22.0,0.2,30619.40246300488
3000.0,20.0,24.0,0.2,30744.877841480382
3200.0,20.0,0.0,0.2,0.0
3200.0,20.0,2.0,0.2,10901.417144421526
3200.0,20.0,4.0,0.2,18208.85558652387
3200.0,20.0,6.0,0.2,23107.17805943652
3200.0,20.0,8.0,0.2,26390.621804976727
3200.0,20.0,10.0,0.2,28591.57996764267
3200.0,20.0,12.0,0.2,30066.926344563428
3200.0,20.0,14.0,0.2,31055.88059585946
3200.0,20.0,16.0,0.2,31718.796455115364
3200.0,20.0,18.0,0.2,32163.162244409526
3200.0,20.0,20.0,0.2,32461.02954074585
3200.0,20.0,22.0,0.2,32660.69596053854
3200.0,20.0,24.0,0.2,32794.53636424574
